TTEST.ds00..Comparison,TTEST.ds00..ID,TTEST.ds00..UniprotAccession,TTEST.ds00.delta,TTEST.ds00.p
Comparison1,EPHB4_583_595,P54760,0.592617939,0.0222
Comparison1,EPOR_361_373,P19235,0.829431511,0.00528
Comparison1,EPOR_419_431,P19235,0.85373664,0.0235
Comparison1,ERBB2_1241_1253,P04626,1.156182155,0.00412
Comparison1,ERBB2_870_882,P04626,1.32678381,0.0385
Comparison1,ERBB3_1283_1295,P21860,2.235171721,0.00274
Comparison1,ERBB4_1181_1193,Q15303,1.803173872,0.00845
Comparison1,ERBB4_1277_1289,Q15303,1.232439146,0.00791
Comparison1,FABPH_13_25,P05413,4.308350276,0.0294
Comparison1,FAK1_569_581,Q05397,0.621259646,0.0185
Comparison1,FAK2_572_584,Q14289,0.830787744,0.0235
Comparison1,FER_707_719,P16591,0.994509811,0.0207
Comparison1,FES_706_718,P07332,0.98322871,0.0117
Comparison1,FGFR1_761_773,P11362,1.200266916,0.0184
Comparison1,FGFR2_762_774,P21802,1.173482401,0.00622
Comparison1,FGFR3_753_765,P22607,1.234513081,0.00892
Comparison1,FRK_380_392,P42685,0.874863389,0.00969
Comparison1,FYN_525_537,P06241,2.501984543,0.00213
Comparison1,GAB1_622_632,Q13480,1.472935536,0.00121
Comparison1,GAB2_638_648,Q9UQC2,1.68465681,0.0137
Comparison1,GSK3B_210_222_C218S,P49841,0.219799526,0.408
Comparison1,HAVR2_257_267,Q8TDQ0,0.498554522,0.0415
Comparison1,INSR_1348_1360,P06213,1.093167135,0.0495
Comparison1,INSR_992_1004,P06213,1.233378306,0.00866
Comparison1,IRS1_890_902,P35568,0.984684511,0.00497
Comparison1,IRS2_626_638,Q9Y4H2,1.605353437,0.0117
Comparison1,JAK1_1027_1039,P23458,0.987852362,0.00417
Comparison1,JAK1_214_226,P23458,3.007426965,0.124
Comparison1,JAK2_1001_1013,O60674,2.206413513,0.0106
Comparison1,JAK2_563_577,O60674,1.149047305,0.0274
Comparison1,JAK3_974_986,P52333,0.807465288,0.0114
Comparison1,K2C6B_53_65,P04259,0.386609354,0.0845
Comparison1,K2C8_425_437,P05787,0.784197813,0.0126
Comparison1,KIT_930_942_C942S,P10721,0.983607332,0.0236
Comparison1,KSYK_518_530,P43405,0.836683771,0.0217
Comparison1,LAT_194_206,O43561,1.501761615,0.0167
Comparison1,LAT_249_261,O43561,1.514200628,0.00542
Comparison1,LCK_387_399,P06239,0.851572389,0.0349
Comparison1,LYN_391_403,P07948,1.124242969,0.0258
Comparison1,LYN_501_512,P07948,1.631387334,0.0119
Comparison1,MAPK3_198_210_C203S,Q16644,0.754710336,0.0631
Comparison1,MBP_198_210,P02686,0.169479045,0.551
Comparison1,MBP_259_271,P02686,0.388258411,0.12
Comparison1,MBP_263_275,P02686,-0.723473774,0.449
Comparison1,MET_1227_1239,P08581,0.739481249,0.0254
Comparison1,MET_1228_1240,P08581,0.70907257,0.0151
Comparison1,MK01_180_192,P28482,0.424270026,0.137
Comparison1,MK01_200_209,P28482,-0.787480799,0.222
Comparison1,MK03_199_208,P27361,0.609493677,0.0507
Comparison1,MK07_212_224,Q13164,0.979989392,0.0111
Comparison1,MK08_181_191,P45983,0.087086923,0.731
Comparison1,MK10_216_228,P53779,0.166762384,0.3
Comparison1,MK12_178_190,P53778,0.790845856,0.0819
Comparison1,MK12_180_189_M182B,P53778,0.502283115,0.0958
Comparison1,MK14_173_185,Q16539,1.39548554,0.0195
Comparison1,MK14_177_187,Q16539,0.902112995,0.03
Comparison1,MPZL1_236_246,O95297,0.705284665,0.0174
Comparison1,MUSK_548_560,O15146,0.482374113,0.131
Comparison1,NCF1_313_325,P14598,0.009369076,0.957
Comparison1,NTRK1_489_501,P04629,0.843862157,0.144
Comparison1,NTRK2_696_708,Q16620,0.627081157,0.078
Comparison1,ODBA_340_352_D340K,P12694,1.720110426,0.0197
Comparison1,ODPAT_291_303,P29803,3.311425198,0.0427
Comparison1,P85A_600_612,P27986,1.284399093,0.0126
Comparison1,PAXI_111_123,P49023,0.839361975,0.00847
Comparison1,PAXI_24_36,P49023,1.174942605,0.00269
Comparison1,PDCD1_221_229_FS219_220KK,Q15116,0.911136979,0.305
Comparison1,PDPK1_2_14,O15530,1.122329235,0.00449
Comparison1,PDPK1_369_381,O15530,1.155614258,0.00397
Comparison1,PECA1_706_718,P16284,0.593158301,0.0281
Comparison1,PECA1_708_718,P16284,0.625452223,0.0142
Comparison1,PGFRB_1002_1014,P09619,1.31074954,0.00591
Comparison1,PGFRB_1014_1028,P09619,1.100606092,0.01
Comparison1,PGFRB_572_584,P09619,1.185321403,0.00228
Comparison1,PGFRB_709_721,P09619,1.145523198,0.00817
Comparison1,PGFRB_768_780,P09619,1.089461118,0.00212
Comparison1,PGFRB_771_783,P09619,1.333415699,0.00879
Comparison1,PLCG1_1246_1258,P19174,1.605615684,0.013
Comparison1,PLCG1_764_776,P19174,1.059361986,0.00152
Comparison1,PLCG1_777_789,P19174,-0.594702909,0.822
Comparison1,PLCG2_1191_1203_C1200S,P16885,0.928146972,0.00246
Comparison1,PP2AB_297_309,P62714,-0.029205102,0.928
Comparison1,PRGR_545_557,P06401,2.409631278,0.0384
Comparison1,PRGR_786_798,P06401,1.030010882,0.00832
Comparison1,PRRX2_202_214,Q99811,0.783816312,0.00495
Comparison1,PTN11_539_551,Q06124,0.250780179,0.245
Comparison1,PTN11_541_551,Q06124,0.320066431,0.165
Comparison1,PTN11_57_67,Q06124,0.694668936,0.00519
Comparison1,PTN11_580_590,Q06124,1.177578978,0.01
Comparison1,PTN6_531_541,P29350,0.520853831,0.0542
Comparison1,PTN6_558_570,P29350,0.755759585,0.0132
Comparison1,RAF1_332_344,P04049,0.306026933,0.0411
Comparison1,RASA1_453_465,P20936,0.610127867,0.00314
Comparison1,RBL2_99_111,Q08999,2.041787495,0.00231
Comparison1,RB_804_816,P06400,0.070019031,0.8
Comparison1,RET_1022_1034,P07949,1.424487492,0.00431
Comparison1,RET_680_692,P07949,2.595806713,0.0278
Comparison1,RON_1346_1358,Q04912,1.030129175,0.0247
Comparison1,SHC1_309_321,P29353,-0.449535236,0.39
Comparison1,SRC_524_536,P12931,2.623797451,0.0295
Comparison1,STA5A_687_699,P42229,0.959803286,0.423
Comparison1,STAT3_698_710,P40763,0.848471334,0.313
Comparison1,STAT4_686_698,Q14765,0.458829514,0.785
Comparison1,STAT4_714_726,Q14765,1.96843675,0.00692
Comparison1,TEC_512_524,P42680,0.818089266,0.00526
Comparison1,TIE2_986_998,Q02763,0.583905222,0.207
Comparison1,TYK2_1048_1060,P29597,0.801583792,0.0217
Comparison1,TYRO3_679_691,Q06418,0.216241231,0.296
Comparison1,VGFR1_1040_1052,P17948,1.156175007,0.00928
Comparison1,VGFR1_1049_1061,P17948,0.023268072,0.974
Comparison1,VGFR1_1162_1174,P17948,2.057913988,0.0188
Comparison1,VGFR1_1206_1218,P17948,0.937821075,0.00885
Comparison1,VGFR1_1320_1332_C1320K/C1321K,P17948,1.472158592,0.0014
Comparison1,VGFR2_1046_1058,P35968,1.722309538,0.00392
Comparison1,VGFR2_1168_1180,P35968,0.930555197,0.0258
Comparison1,VGFR2_944_956,P35968,-0.058544795,0.82
Comparison1,VGFR2_989_1001,P35968,0.911958862,0.00339
Comparison1,VGFR3_1061_1073,P35916,1.130059167,0.0275
Comparison1,VINC_815_827,P18206,0.120781759,0.639
Comparison1,VISTA_260_270,Q9H7M9,-0.322011391,0.181
Comparison1,YES_420_432,P07947,0.941727457,0.022
Comparison1,ZAP70_313_325,P43403,1.286346827,0.000855
Comparison1,ZAP70_485_497,P43403,0.947954118,0.00808
Comparison1,ZBT16_621_633,Q05516,0.270249924,0.225
Comparison2,41_654_666,P11171,0.858065072,0.124
Comparison2,ACHD_383_395,Q07001,1.364518676,0.0326
Comparison2,AKT1_170_182,P31749,-2.020455666,0.302
Comparison2,AKT1_309_321_C310S,P31749,1.048029892,0.0672
Comparison2,AKT1_320_332,P31749,0.463865373,0.382
Comparison2,ANXA1_14_26,P04083,0.780946267,0.099
Comparison2,ANXA2_17_29,P07355,1.498772392,0.0761
Comparison2,ARAF_297_307,P10398,0.645478115,0.198
Comparison2,ART_004_EAIYAAPFAKKKXC,NA,0.956196285,0.151
Comparison2,B3AT_39_51,P02730,2.2165423,0.107
Comparison2,BTLA_252_262,Q7Z6A9,0.771966742,0.104
Comparison2,C1R_199_211,P00736,0.829243775,0.123
Comparison2,CALM_93_105,P0DP23,1.274483897,0.182
Comparison2,CALM_95_107,P0DP23,0.846735985,0.0615
Comparison2,CBL_693_705,P22681,0.980607079,0.0319
Comparison2,CD28_185_197,P10747,0.294601828,0.17
Comparison2,CD28_203_215,P10747,0.195916956,0.511
Comparison2,CD3E_182_194,P07766,0.673179992,0.235
Comparison2,CD3E_193_205,P07766,0.541118321,0.313
Comparison2,CD3Z_105_117,P20963,0.79196436,0.25
Comparison2,CD3Z_116_128,P20963,1.363169654,0.107
Comparison2,CD3Z_117_129,P20963,1.066115383,0.215
Comparison2,CD3Z_135_147,P20963,0.706348096,0.212
Comparison2,CD3Z_146_158,P20963,1.979518853,0.00701
Comparison2,CD3Z_147_159,P20963,2.136016642,0.0384
Comparison2,CD3Z_77_89,P20963,0.598318735,0.156
Comparison2,CD70_9_21_C17S,P32970,-0.295932337,0.329
Comparison2,CD79A_181_193,P11912,0.408888622,0.542
Comparison2,CDK1_9_21,P06493,1.019527152,0.194
Comparison2,CDK2_8_20,P24941,0.917676307,0.229
Comparison2,CDK4_11_23,P11802,1.153062672,0.166
Comparison2,CDK7_157_169,P50613,0.145766774,0.619
Comparison2,CRK_214_226,P46108,1.032782599,0.12
Comparison2,CTNB1_79_91,P35222,0.747336562,0.201
Comparison2,DCX_67_79,O43602,0.632272595,0.172
Comparison2,DYR1A_212_224,Q13627,1.133042604,0.283
Comparison2,DYR1A_312_324,Q13627,0.446357226,0.408
Comparison2,EFS_246_258,O43281,0.962072789,0.287
Comparison2,EGFR_1103_1115,P00533,1.162413999,0.089
Comparison2,EGFR_1118_1130,P00533,0.70281261,0.424
Comparison2,EGFR_1165_1177,P00533,0.137775541,0.677
Comparison2,EGFR_1190_1202,P00533,0.923556753,0.0585
Comparison2,ENOG_37_49,P09104,0.672719354,0.358
Comparison2,EPHA1_774_786,P21709,0.751797032,0.208
Comparison2,EPHA2_765_777,P29317,0.925245227,0.179
Comparison2,EPHA4_589_601,P54764,0.497311989,0.396
Comparison2,EPHA7_607_619,Q15375,0.653489597,0.225
Comparison2,EPHB1_771_783,P54762,0.934261043,0.149
Comparison2,EPHB1_921_933,P54762,0.249295806,0.588
Comparison2,EPHB4_583_595,P54760,0.912671856,0.248
Comparison2,EPOR_361_373,P19235,1.051304405,0.111
Comparison2,EPOR_419_431,P19235,0.755478053,0.266
Comparison2,ERBB2_1241_1253,P04626,0.833016103,0.154
Comparison2,ERBB2_870_882,P04626,0.785192388,0.14
Comparison2,ERBB3_1283_1295,P21860,0.570368891,0.27
Comparison2,ERBB4_1181_1193,Q15303,0.841740735,0.122
Comparison2,ERBB4_1277_1289,Q15303,0.628013486,0.167
Comparison2,FABPH_13_25,P05413,3.338065616,0.0386
Comparison2,FAK1_569_581,Q05397,0.775336904,0.109
Comparison2,FAK2_572_584,Q14289,0.58034982,0.194
Comparison2,FER_707_719,P16591,0.742515573,0.251
Comparison2,FES_706_718,P07332,0.893433315,0.22
Comparison2,FGFR1_761_773,P11362,0.735342915,0.156
Comparison2,FGFR2_762_774,P21802,0.692418828,0.156
Comparison2,FGFR3_753_765,P22607,0.801078015,0.123
Comparison2,FRK_380_392,P42685,0.804435803,0.239
Comparison2,FYN_525_537,P06241,1.451478794,0.0304
Comparison2,GAB1_622_632,Q13480,0.513639749,0.377
Comparison2,GAB2_638_648,Q9UQC2,1.201816872,0.0823
Comparison2,GSK3B_210_222_C218S,P49841,0.587507473,0.158
Comparison2,HAVR2_257_267,Q8TDQ0,0.953135991,0.244
Comparison2,INSR_1348_1360,P06213,0.42597592,0.366
Comparison2,INSR_992_1004,P06213,0.931410071,0.107
Comparison2,IRS1_890_902,P35568,0.899117574,0.0742
Comparison2,IRS2_626_638,Q9Y4H2,0.157320459,0.69
Comparison2,JAK1_1027_1039,P23458,0.961693382,0.117
Comparison2,JAK1_214_226,P23458,2.196087401,0.27
Comparison2,JAK2_1001_1013,O60674,0.666845316,0.191
Comparison2,JAK2_563_577,O60674,0.968120467,0.124
Comparison2,JAK3_974_986,P52333,0.665035942,0.228
Comparison2,K2C6B_53_65,P04259,0.584785338,0.215
Comparison2,K2C8_425_437,P05787,0.545250094,0.257
Comparison2,KIT_930_942_C942S,P10721,0.727485738,0.291
Comparison2,KSYK_518_530,P43405,0.613178573,0.216
Comparison2,LAT_194_206,O43561,0.860309676,0.0478
Comparison2,LAT_249_261,O43561,0.486599309,0.267
Comparison2,LCK_387_399,P06239,0.827707128,0.158
Comparison2,LYN_391_403,P07948,0.67922273,0.271
Comparison2,LYN_501_512,P07948,0.706749741,0.21
Comparison2,MAPK3_198_210_C203S,Q16644,0.694238972,0.235
Comparison2,MBP_198_210,P02686,0.638709266,0.16
Comparison2,MBP_259_271,P02686,0.4985346,0.297
Comparison2,MBP_263_275,P02686,1.000553418,0.179
Comparison2,MET_1227_1239,P08581,0.905066823,0.121
Comparison2,MET_1228_1240,P08581,0.901780034,0.172
Comparison2,MK01_180_192,P28482,0.841473717,0.188
Comparison2,MK01_200_209,P28482,-0.615515277,0.744
Comparison2,MK03_199_208,P27361,0.95046876,0.0724
Comparison2,MK07_212_224,Q13164,0.995125178,0.145
Comparison2,MK08_181_191,P45983,0.483238879,0.162
Comparison2,MK10_216_228,P53779,0.575850347,0.16
Comparison2,MK12_178_190,P53778,0.787348394,0.188
Comparison2,MK12_180_189_M182B,P53778,0.586683309,0.183
Comparison2,MK14_173_185,Q16539,1.076002169,0.129
Comparison2,MK14_177_187,Q16539,0.776891946,0.124
Comparison2,MPZL1_236_246,O95297,0.938613054,0.174
Comparison2,MUSK_548_560,O15146,0.402504967,0.442
Comparison2,NCF1_313_325,P14598,-0.012387978,0.957
Comparison2,NTRK1_489_501,P04629,0.194341831,0.684
Comparison2,NTRK2_696_708,Q16620,0.802347619,0.136
Comparison2,ODBA_340_352_D340K,P12694,1.046802037,0.131
Comparison2,ODPAT_291_303,P29803,0.882490246,0.297
Comparison2,P85A_600_612,P27986,0.790099607,0.282
Comparison2,PAXI_111_123,P49023,0.824678516,0.264
Comparison2,PAXI_24_36,P49023,0.506667573,0.427
Comparison2,PDCD1_221_229_FS219_220KK,Q15116,1.032168946,0.0637
Comparison2,PDPK1_2_14,O15530,0.626739158,0.258
Comparison2,PDPK1_369_381,O15530,0.837251626,0.188
Comparison2,PECA1_706_718,P16284,1.020698655,0.16
Comparison2,PECA1_708_718,P16284,0.925815953,0.208
Comparison2,PGFRB_1002_1014,P09619,0.719471472,0.223
Comparison2,PGFRB_1014_1028,P09619,0.886685736,0.179
Comparison2,PGFRB_572_584,P09619,0.784141445,0.19
Comparison2,PGFRB_709_721,P09619,0.715618793,0.195
Comparison2,PGFRB_768_780,P09619,0.704779257,0.161
Comparison2,PGFRB_771_783,P09619,0.718069132,0.195
Comparison2,PLCG1_1246_1258,P19174,0.632649202,0.1
Comparison2,PLCG1_764_776,P19174,0.714629677,0.278
Comparison2,PLCG1_777_789,P19174,1.087112328,0.315
Comparison2,PLCG2_1191_1203_C1200S,P16885,0.724419846,0.19
Comparison2,PP2AB_297_309,P62714,0.452489,0.239
Comparison2,PRGR_545_557,P06401,1.125247276,0.0583
Comparison2,PRGR_786_798,P06401,1.044927851,0.104
Comparison2,PRRX2_202_214,Q99811,0.762865209,0.19
Comparison2,PTN11_539_551,Q06124,0.455286421,0.338
Comparison2,PTN11_541_551,Q06124,0.169938065,0.629
Comparison2,PTN11_57_67,Q06124,0.549642877,0.364
Comparison2,PTN11_580_590,Q06124,0.722462126,0.121
Comparison2,PTN6_531_541,P29350,0.914203064,0.289
Comparison2,PTN6_558_570,P29350,0.904685846,0.189
Comparison2,RAF1_332_344,P04049,0.621572609,0.163
Comparison2,RASA1_453_465,P20936,0.714564993,0.199
Comparison2,RBL2_99_111,Q08999,0.946957158,0.125
Comparison2,RB_804_816,P06400,0.737002987,0.16
Comparison2,RET_1022_1034,P07949,0.532410898,0.354
Comparison2,RET_680_692,P07949,2.489924159,0.0511
Comparison2,RON_1346_1358,Q04912,0.913673286,0.138
Comparison2,SHC1_309_321,P29353,-0.99342,0.225
Comparison2,SRC_524_536,P12931,1.134178242,0.105
Comparison2,STA5A_687_699,P42229,2.235262014,0.161
Comparison2,STAT3_698_710,P40763,1.152876515,0.122
Comparison2,STAT4_686_698,Q14765,1.228571359,0.254
Comparison2,STAT4_714_726,Q14765,1.160943065,0.089
Comparison2,TEC_512_524,P42680,0.751405594,0.117
Comparison2,TIE2_986_998,Q02763,1.253915186,0.135
Comparison2,TYK2_1048_1060,P29597,0.6145311,0.144
Comparison2,TYRO3_679_691,Q06418,0.431604121,0.316
Comparison2,VGFR1_1040_1052,P17948,0.819890278,0.186
Comparison2,VGFR1_1049_1061,P17948,0.122001278,0.949
Comparison2,VGFR1_1162_1174,P17948,0.888468414,0.281
Comparison2,VGFR1_1206_1218,P17948,0.798917721,0.11
Comparison2,VGFR1_1320_1332_C1320K/C1321K,P17948,0.477337096,0.453
Comparison2,VGFR2_1046_1058,P35968,0.730190222,0.134
Comparison2,VGFR2_1168_1180,P35968,0.955838598,0.051
Comparison2,VGFR2_944_956,P35968,0.118749854,0.734
Comparison2,VGFR2_989_1001,P35968,0.79684964,0.167
Comparison2,VGFR3_1061_1073,P35916,0.591273897,0.216
Comparison2,VINC_815_827,P18206,0.703314192,0.197
Comparison2,VISTA_260_270,Q9H7M9,-0.085673936,0.728
Comparison2,YES_420_432,P07947,0.942930387,0.106
Comparison2,ZAP70_313_325,P43403,0.348441464,0.493
Comparison2,ZAP70_485_497,P43403,0.632979915,0.268
Comparison2,ZBT16_621_633,Q05516,0.493650937,0.288
