BioNavigator Version	6.3.67.0	PamGrid Version	QuantitationType	MTvC::__pvalue.treatment	Protocol file name	FR PTK3 DataA.230106 vREPORTDate	Fri, 06 Jan 2023 14:53:36 GMT
6.0	FES_706_718	P07332		NA	0.329607456922531	0.958099722862244	1.56001280993223e-002
5.0	FGFR1_761_773	P11362		NA	0.983649969100952	6.94763381034136e-004	4.10053916275501e-002
5.0	FGFR2_762_774	P21802		NA	0.214649558067322	1.25964696053416e-004	0.116040207445621
7.0	FGFR3_641_653	P22607		NA	1.02323312312365e-002	6.48730713874102e-003	6.93461075425148e-002
5.0	FGFR3_753_765	P22607		NA	0.675574243068695	5.92283940932248e-005	1.91347002983093e-002
1.0	FRK_380_392	P42685		NA	0.741686880588531	1.15735072176903e-003	2.14091545785777e-004
3.0	FYN_525_537	P06241		NA	0.14123110473156	1.80096959229559e-003	0.163911312818527
5.0	GAB2_638_648	Q9UQC2		NA	0.749102056026459	1.31664506625384e-004	7.06972628831863e-002
7.0	GSK3B_210_222_C218S	P49841		NA	6.07110261917114e-002	9.12096872925758e-002	0.770022213459015
6.0	HAVR2_257_267_G257K	Q8TDQ0		NA	0.787525713443756	0.91795939207077	3.71322967112064e-002
5.0	INSR_992_1004	P06213		NA	0.772350788116455	3.91614128602669e-004	3.19022759795189e-002
4.0	IRS1_890_902_P890K	P35568		NA	0.337816596031189	0.144917875528336	0.677972078323364
5.0	IRS2_626_638	Q9Y4H2		NA	0.262248545885086	1.07454683165997e-003	0.330871880054474
5.0	JAK1_1027_1039	P23458		NA	7.88808614015579e-002	2.5507276859571e-006	9.71108675003052e-004
1.0	JAK2_563_577	O60674		NA	0.985147595405579	2.59119737893343e-003	1.09784700907767e-003
3.0	JAK3_974_986	P52333		NA	6.6525274887681e-003	4.56554378615692e-004	4.08458262681961e-002
8.0	K2C6B_53_65	P04259		NA	8.05720165371895e-002	0.787865221500397	0.296125084161758
1.0	K2C8_425_437	P05787		NA	0.767080962657928	0.129722878336906	5.66603988409042e-002
9.0	KIT_930_942_C942S	P10721		NA	3.48727814853191e-002	1.66714508086443e-002	5.58669539168477e-003
1.0	KSYK_518_530	P43405		NA	0.454338133335114	4.2600161395967e-003	1.16558596491814e-002
5.0	LAT_194_206	O43561		NA	0.344941526651382	9.82283672783524e-005	0.446986258029938
5.0	LAT_249_261	O43561		NA	0.160959869623184	1.85013668669853e-005	0.232928231358528
5.0	LCK_387_399	P06239		NA	0.474585801362991	9.03736654436216e-005	4.96814139187336e-002
5.0	LYN_391_403	P07948		NA	0.286604106426239	1.20304912343272e-005	0.122926510870457
1.0	LYN_501_512	P07948		NA	0.648045420646667	8.06378573179245e-003	1.39643158763647e-002
7.0	MAPK3_198_210_C203S	Q16644		NA	4.79339919984341e-002	7.59925469756126e-002	0.280429065227509
8.0	MBP_198_210	P02686		NA	8.81134904921055e-003	0.788351058959961	0.12166166305542
4.0	MBP_259_271	P02686		NA	0.224452018737793	0.213954463601112	0.940367758274078
5.0	MET_1227_1239	P08581		NA	0.159380733966827	2.56950210314244e-004	7.22013711929321e-002
3.0	MET_1228_1240	P08581		NA	0.10928600281477	3.04671702906489e-003	4.56069596111774e-002
4.0	MK01_180_192	P28482		NA	0.456013172864914	0.22007317841053	0.89886599779129
4.0	MK03_199_208	P27361		NA	0.25492787361145	0.167247086763382	0.869800806045532
7.0	MK07_212_224	Q13164		NA	8.9907743036747e-002	4.85356226563454e-002	0.466786712408066
8.0	MK08_181_191	P45983		NA	4.9932673573494e-003	0.254365473985672	0.120812892913818
1.0	MK10_216_228	P53779		NA	3.44303548336029e-002	0.119283989071846	3.02103767171502e-003
7.0	MK12_178_190	P53778		NA	5.33649101853371e-002	6.53265789151192e-002	0.190125659108162
3.0	MK12_180_189_M182B	P53778		NA	0.381217688322067	1.41920661553741e-003	3.9535004645586e-002
3.0	MK14_173_185	Q16539		NA	0.267698466777802	4.57488320535049e-004	4.51737679541111e-002
3.0	MK14_177_187	Q16539		NA	0.479615747928619	2.93249078094959e-002	0.225936383008957
6.0	MPZL1_235_246_H235K_Q236K	O95297		NA	0.183933809399605	0.998590648174286	1.11371101811528e-002
8.0	MUSK_548_560	O15146		NA	2.98687685281038e-002	0.706698954105377	0.871484339237213
2.0	NCF1_313_325	P14598		NA	0.419405043125153	0.610689699649811	0.757447123527527
7.0	NTRK2_696_708	Q16620		NA	4.24293875694275e-002	2.03372985124588e-002	7.52136185765266e-002
2.0	ODBA_340_352_D340K	P12694		NA	0.384402751922607	0.173204317688942	4.15859036147594e-002
1.0	P85A_600_612	P27986		NA	0.172626376152039	7.81658291816711e-003	3.22087295353413e-003
1.0	PAXI_111_123	P49023		NA	0.314636468887329	2.16088071465492e-002	2.72741599474102e-004
7.0	PAXI_24_36	P49023		NA	4.47330698370934e-002	6.29053264856339e-003	0.257073491811752
1.0	PDCD1_221_229_FS219_220KK	Q15116		NA	0.92203414440155	0.18546399474144	4.47320528328419e-002
8.0	PDPK1_2_14	O15530		NA	2.74483934044838e-002	0.364360898733139	0.124470800161362
1.0	PDPK1_369_381	O15530		NA	0.204546347260475	2.63358596712351e-002	1.33169377222657e-002
9.0	PECA1_706_718	P16284		NA	0.145092234015465	0.143048316240311	1.16443336009979e-002
9.0	PECA1_708_718	P16284		NA	0.991383790969849	0.253003805875778	9.41357016563416e-003
1.0	PGFRB_1002_1014	P09619		NA	0.808526337146759	5.13477735221386e-002	1.24457273632288e-002
5.0	PGFRB_1014_1028	P09619		NA	0.192627564072609	2.63265501416754e-005	0.247058123350143
3.0	PGFRB_572_584	P09619		NA	0.545816481113434	1.51213712524623e-003	2.14109942317009e-002
3.0	PGFRB_709_721	P09619		NA	7.72578939795494e-002	9.0904941316694e-004	6.89669977873564e-003
7.0	PGFRB_768_780	P09619		NA	3.98344472050667e-002	2.93622054159641e-002	0.396555095911026
3.0	PGFRB_771_783	P09619		NA	0.243517279624939	3.42026585713029e-003	5.43608032166958e-002
5.0	PLCG1_1246_1258	P19174		NA	0.47314915060997	4.02938611805439e-002	0.771399915218353
1.0	PLCG1_764_776	P19174		NA	0.104523524641991	0.167373344302177	4.47674840688705e-002
1.0	PLCG1_777_789	P19174		NA	1.39070779550821e-003	0.125764116644859	1.18097672238946e-002
1.0	PLCG2_1191_1203_C1200S	P16885		NA	0.126583263278008	0.122141160070896	9.41152032464743e-003
8.0	PLCG2_1211_1222_N1211K_N1212K	P16885		NA	0.103500045835972	0.609810650348663	0.838405668735504
3.0	PP2AB_297_309	P62714		NA	0.264980524778366	0.119875885546207	0.486027717590332
5.0	PRGR_545_557	P06401		NA	0.86288046836853	1.33643101435155e-004	1.35438959114254e-003
6.0	PRGR_786_798	P06401		NA	0.128884837031364	0.67770379781723	4.76444605737925e-003
7.0	PRRX2_202_214	Q99811		NA	8.64742994308472e-002	4.50807921588421e-002	0.245363295078278
5.0	PTN11_539_551	Q06124		NA	0.913815081119537	0.687617957592011	0.91262412071228
2.0	PTN11_541_551	Q06124		NA	0.626286208629608	0.356463015079498	0.577709257602692
1.0	PTN11_57_67	Q06124		NA	0.119957834482193	0.250350832939148	5.37210889160633e-002
6.0	PTN11_580_590	Q06124		NA	8.51395577192307e-002	0.602465093135834	1.05849234387279e-002
9.0	PTN6_531_541	P29350		NA	0.583459258079529	6.38624802231789e-002	1.38763058930635e-002
6.0	PTN6_558_570	P29350		NA	1.82496029883623e-002	0.375158071517944	1.23278861865401e-002
1.0	RAF1_332_344	P04049		NA	6.85972161591053e-003	0.173229232430458	3.3710899297148e-003
9.0	RASA1_453_465	P20936		NA	7.79381543397903e-002	7.10503980517387e-002	2.92859431356192e-002
4.0	RBL2_99_111	Q08999		NA	0.132623478770256	0.196581706404686	0.820208847522736
1.0	RB_804_816	P06400		NA	0.826203644275665	0.203325748443604	0.116451509296894
1.0	RET_1022_1034	P07949		NA	0.209137812256813	0.260861217975616	6.31733685731888e-002
2.0	RET_680_692	P07949		NA	0.527915120124817	0.300592750310898	0.945186972618103
1.0	RON_1346_1358	Q04912		NA	0.123773477971554	0.161190256476402	5.11896461248398e-002
5.0	SRC_524_536	P12931		NA	0.755232989788055	7.12660234421492e-003	5.73140308260918e-002
8.0	STAT4_714_726	Q14765		NA	5.21789267659187e-002	0.618050515651703	0.540992259979248
5.0	TEC_512_524	P42680		NA	0.27475169301033	4.80961287394166e-004	2.7040109038353e-002
1.0	TIE2_986_998	Q02763		NA	0.202298998832703	5.34581430256367e-002	6.55667809769511e-003
4.0	TNNT1_2_14	P13805		NA	5.50642311573029e-002	2.04656459391117e-003	0.521722793579102
3.0	TYK2_1048_1060	P29597		NA	6.52526542544365e-002	3.60030157025903e-004	4.23067174851894e-002
3.0	TYRO3_679_691	Q06418		NA	0.378520220518112	3.35243009030819e-002	0.16976934671402
2.0	VGFR1_1040_1052	P17948		NA	0.315704107284546	2.20097452402115e-002	3.72936390340328e-002
2.0	VGFR1_1049_1061	P17948		NA	0.156740322709084	2.87234988063574e-002	0.140531465411186
5.0	VGFR1_1162_1174	P17948		NA	0.893388628959656	4.6477229334414e-003	0.174029171466827
2.0	VGFR1_1206_1218	P17948		NA	0.17327481508255	6.21407851576805e-002	0.626205682754517
5.0	VGFR1_1235_1247	P17948		NA	0.371965527534485	2.56364280357957e-003	0.391328781843185
2.0	VGFR1_1320_1332_C1320K/C1321K	P17948		NA	0.585183799266815	0.611575126647949	0.333183854818344
5.0	VGFR2_1046_1058	P35968		NA	0.975809454917908	5.94954052940011e-003	6.47988840937614e-002
3.0	VGFR2_1168_1180	P35968		NA	0.348644584417343	1.59387930762023e-003	1.88108719885349e-002
2.0	VGFR2_944_956	P35968		NA	9.02338400483131e-002	0.369838774204254	0.198779121041298
8.0	VGFR2_989_1001	P35968		NA	3.59341688454151e-003	0.568743288516998	0.646908164024353
1.0	VGFR3_1061_1073	P35916		NA	0.518073797225952	6.2788687646389e-003	1.18535319343209e-002
7.0	VINC_815_827	P18206		NA	0.203021720051765	0.405636042356491	0.452129662036896
2.0	VISTA_260_270	Q9H7M9		NA	3.06308851577342e-003	0.344891726970673	4.67558769742027e-004
5.0	YES_420_432	P07947		NA	0.744381070137024	6.76136050969944e-006	4.42061247304082e-003
6.0	ZAP70_313_325	P43403		NA	0.223053380846977	0.817418217658997	5.01087456941605e-002
3.0	ZAP70_485_497	P43403		NA	8.45316350460052e-002	3.10695555526763e-004	7.44948023930192e-003
1.0	ZBT16_621_633	Q05516		NA	0.432496190071106	0.507471024990082	0.32288458943367
